id.deidentified,Age,Gender,Race,Multi.racial,Class,Income,SSID1,SSID2,SSID3r,SSID4,SSID5,SSID6r,Eff1,Eff2,Eff3,Eff4,Eff5,USldr
412,19,2,7,,1,8,4,3,6,4,3,5,5,5,4,5,5,8
413,22,1,7,,4,,3,5,2,2,3,3,7,7,6,3,7,6
414,21,1,7,,4,,,,,,,,,,,,,
415,18,1,7,,1,8,3,2,4,4,4,5,6,6,6,3,6,7.5
416,19,1,7,,1,9,2,4,4,2,3,6,7,5,6,4,5,10
417,19,2,7,,1,9,1,5,6,1,2,2,7,7,7,5,7,7.5
418,20,1,7,,4,8,6,7,3,7,3,3,7,7,7,2,7,9
419,20,2,7,,3,8,4,6,6,3,2,3,1,4,2,2,2,8
420,18,2,7,,1,9,4,6,5,1,4,4,6,6,6,5,6,9
421,19,2,7,,1,9,2,1,5,1,1,3,5,2,2,2,5,10
422,18,2,7,,1,9,3,6,2,2,2,3,6,6,5,4,5,10
423,18,1,8,india/filipino/white,1,,4,3,6,2,1,2,5,3,6,2,5,9
424,18,2,7,,1,6,,,,,,,,,,,,
426,19,1,3,,1,3,3,5,1,6,6,2,4,4,6,6,6,2.5
427,18,2,7,,1,5,4,7,2,7,5,4,4,4,5,5,4,6
428,20,1,7,,2,9,2,4,5,2,2,5,3,6,7,7,6,9
429,20,1,7,,2,5,1,1,6,1,1,6,6,5,6,7,4,8.5
431,19,1,7,,2,6,4,7,2,6,4,2,2,2,2,6,5,7
432,18,2,7,,1,3,,,,,,,,,,,,
433,20,1,2,,2,7,,,,,,,,,,,,
434,19,2,2,,1,6,3,4,2,4,3,2,7,6,6,6,6,5
435,18,1,7,,2,,,,,,,,,,,,,
436,18,2,7,,1,,1,2,4,1,1,5,2,5,6,3,6,9
437,19,1,7,,1,3,3,5,3,5,3,6,6,6,7,6,6,7.5
438,18,2,7,,1,1,3,7,1,6,4,3,3,3,5,6,3,6
439,18,2,7,,1,,5,6,3,4,1,4,6,4,5,7,7,9.5
440,18,1,7,,1,4,,,,,,,,,,,,
441,19,2,7,,1,,,,,,,,,,,,,
442,19,1,7,,2,4,,,,,,,,,,,,
443,19,1,2,,2,7,3,3,3,6,2,5,7,7,7,2,7,8
444,18,1,7,,1,9,4,3,6,4,4,6,7,6,5,6,7,8.5
445,19,1,7,,2,5,,,,,,,,,,,,
446,18,2,2,,1,6,3,2,5,6,3,5,5,5,5,5,6,6.5
447,19,1,7,,1,9,,,,,,,,,,,,
448,19,2,4,,1,3,,,,,,,,,,,,
449,19,2,7,,1,9,,,,,,,,,,,,
450,18,2,7,,1,4,,,,,,,,,,,,
451,22,2,2,,3,4,2,6,6,2,6,6,6,5,6,7,6,10
452,18,2,8,"black,white",1,3,4,3,5,6,2,5,5,5,5,6,4,5.5
453,18,2,7,,1,,,,,,,,,,,,,
454,19,2,2,,1,5,,,,,,,,,,,,
455,18,1,7,,1,,,,,,,,,,,,,10.5
456,18,2,2,,1,8,4,2,6,1,1,6,3,3,6,6,6,9.5
457,18,1,7,,1,5,4,3,4,6,2,6,5,4,4,4,4,10.5
459,18,2,7,,1,3,,,,,,,,,,,,
460,18,1,7,,1,5,,,,,,,,,,,,
461,18,1,7,,1,9,,,,,,,,,,,,
462,19,1,8,"asian,white",1,9,2,2,4,3,3,,5,6,6,6,7,9
463,19,1,7,,2,7,4,4,5,4,4,5,3,3,5,2,6,8.5
464,19,2,7,,1,5,2,4,3,6,5,5,7,6,6,4,6,7
465,18,1,7,,1,5,5,5,7,4,2,6,7,7,6,5,6,
466,18,1,7,,1,9,1,1,3,2,3,4,2,5,5,2,5,9.5
467,18,1,7,,1,7,2,4,5,3,5,4,5,5,5,3,6,9
468,18,1,2,,1,3,,,,,,,,,,,,
469,19,2,2,,1,8,,,,,,,,,,,,
470,19,1,7,,1,5,4,5,3,5,4,3,5,6,5,5,6,5.5
471,22,1,2,,4,3,4,5,4,5,5,5,5,5,5,6,4,9
472,18,1,2,,1,9,,,,,,,,,,,,
473,19,2,7,,2,7,6,4,3,5,3,5,1,1,1,1,2,7
474,18,2,7,,1,1,,,,,,,,,,,,
476,18,2,7,,1,3,6,6,2,7,7,5,6,6,6,6,7,6
477,18,2,7,,1,3,5,6,1,7,7,3,3,2,2,5,2,7
479,20,1,7,,2,6,3,2,1,7,7,1,2,5,7,2,6,4.5
480,19,1,3,,2,4,4,3,2,3,1,4,5,3,4,1,3,10
482,18,1,7,,1,9,3,3,4,2,3,5,6,6,6,6,6,8
483,18,2,8,"asian,white",1,5,,,,,,,,,,,,
484,18,1,7,,1,5,2,2,5,5,3,5,7,6,6,5,6,9.5
485,18,2,8,"arab, german",1,9,2,4,3,2,5,5,7,6,7,7,6,8
486,19,1,2,,1,3,5,6,3,6,4,3,3,4,5,5,5,5
488,21,2,7,,4,4,,,,,,,,,,,,
489,19,2,7,,1,6,3,3,3,5,3,2,4,3,5,6,6,9.5
490,20,2,7,,2,7,2,2,6,2,2,5,6,6,6,7,7,8
491,20,1,2,,3,,,,,,,,,,,,,
492,19,2,7,,1,,2,2,6,2,2,6,7,7,7,7,7,
493,18,2,7,,1,9,1,1,6,2,1,6,6,7,7,4,6,10
494,18,2,7,,1,5,2,2,3,5,3,5,6,6,6,4,5,6
495,18,2,7,,1,4,5,6,1,7,7,2,6,5,6,6,7,6.5
496,18,1,7,,1,9,1,1,5,2,2,5,7,7,6,5,5,9
497,18,2,2,,1,,6,3,3,4,3,5,6,6,5,4,6,
498,18,1,8,"asian,white",1,9,2,2,3,2,4,4,3,6,7,6,7,9
499,19,1,2,,1,3,4,4,4,4,4,4,4,7,7,7,7,8
500,19,2,2,,2,3,4,6,3,7,5,4,3,4,5,4,5,3
501,19,2,7,,1,4,,,,,,,,,,,,
502,19,2,7,,2,8,,,,,,,,,,,,
503,19,1,8,"white,pacific islander",2,7,,,,,,,,,,,,
504,18,1,8,"white,latino,black",2,1,6,7,2,7,7,4,6,6,6,6,7,7
505,19,2,2,,2,9,3,5,5,3,3,5,4,4,4,5,4,9
506,18,1,7,,1,3,6,2,7,7,2,7,7,7,7,5,7,6
507,20,1,7,,2,,,,,,,,,,,,,
508,18,2,2,,1,7,,,,,,,,,,,,
511,18,2,2,,1,4,,,,,,,,,,,,
512,18,2,7,,1,,2,5,6,3,2,5,6,5,6,6,7,8
513,18,1,7,,1,8,,,,,,,,,,,,
514,18,2,7,,1,9,,,,,,,,,,,,
515,18,2,7,,1,1,,,,,,,,,,,,
516,19,2,7,,1,7,2,2,6,2,2,6,6,6,6,4,6,10.5
517,20,2,7,,3,5,,,,,,,,,,,,
518,19,2,7,,1,4,3,5,3,5,4,3,4,5,5,5,5,5.5
519,19,2,8,"european, japanese",1,8,,,,,,,,,,,,
520,20,1,7,,2,5,,,,,,,,,,,,
521,19,2,8,"asian,white",1,8,,,,,,,,,,,,
522,18,2,7,,1,9,1,1,3,1,5,4,7,7,7,6,7,8.5
523,19,1,7,,1,9,,,,,,,,,,,,
524,18,2,7,,1,9,,,,,,,,,,,,
525,18,2,2,,1,,,,,,,,,,,,,
526,23,1,7,,4,5,3,3,6,4,2,5,6,5,5,6,5,8
527,19,2,7,,1,2,,,,,,,,,,,,
528,18,2,2,,1,,,,,,,,,,,,,
529,18,2,7,,1,9,,,,,,,,,,,,
530,18,2,7,,1,,,,,,,,,,,,,
531,19,2,7,,1,7,,,,,,,,,,,,
532,18,1,2,,1,5,,,,,,,,,,,,
533,18,2,7,,1,,,,,,,,,,,,,
534,18,1,7,,1,6,,,,,,,,,,,,
535,18,2,7,,1,9,2,2,5,2,1,4,6,5,5,6,6,10.5
536,18,2,7,,1,4,5,6,2,6,5,5,4,5,5,6,6,6.5
537,18,2,8,"asian,black",1,,2,2,6,3,2,7,3,3,5,4,3,9
539,19,2,3,,2,4,,,,,,,,,,,,
541,19,2,2,,2,8,5,4,5,3,4,,5,4,5,6,6,8
542,20,1,2,,2,6,5,4,3,4,4,3,5,5,5,4,5,7.5
543,18,2,7,,1,5,,,,,,,,,,,,
544,19,1,7,,1,7,,,,,,,,,,,,
545,18,2,7,,1,8,,,,,,,,,,,,
546,18,2,3,,1,1,,,,,,,,,,,,
547,20,1,1,,1,8,,,,,,,,,,,,
548,18,1,2,,1,3,,,,,,,,,,,,
549,18,1,7,,1,5,,,,,,,,,,,,
550,18,2,7,,1,5,,,,,,,,,,,,
551,18,1,7,,1,8,,,,,,,,,,,,
552,,1,2,,1,,,,,,,,,,,,,
553,19,1,7,,1,5,,,,,,,,,,,,
554,19,2,7,,2,,2,1,6,2,2,6,3,5,6,6,6,
555,19,1,7,,2,9,,,,,,,,,,,,
556,19,2,7,,2,6,,,,,,,,,,,,
557,18,1,7,,1,7,,,,,,,,,,,,
558,18,2,8,"asian,white",1,3,,,,,,,,,,,,
559,18,2,7,,1,,,,,,,,,,,,,
560,18,2,7,,1,8,,,,,,,,,,,,
561,18,2,7,,1,5,,,,,,,,,,,,
562,19,2,3,,1,9,,,,,,,,,,,,
564,21,1,7,,3,8,,,,,,,,,,,,
565,18,2,7,,1,6,,,,,,,,,,,,
566,18,2,7,,1,9,,,,,,,,,,,,
567,19,2,7,,1,9,,,,,,,,,,,,
568,21,1,7,,4,8,2,3,5,2,2,5,7,6,6,5,6,10.5
569,18,1,7,,1,9,,,,,,,,,,,,
570,18,1,7,,1,6,,,,,,,,,,,,
571,18,1,7,,1,,,,,,,,,,,,,
572,20,1,7,,2,3,,,,,,,,,,,,
573,18,2,7,,1,9,,,,,,,,,,,,
574,18,2,2,,1,,,,,,,,,,,,,
575,18,1,7,,1,6,,,,,,,,,,,,
576,18,2,7,,1,9,2,2,3,1,6,4,6,6,6,6,6,10
577,18,1,8,"white, latino",1,9,,,,,,,,,,,,
578,19,2,4,,2,1,,,,,,,,,,,,
579,18,2,7,,1,,,,,,,,,,,,,
