id.deidentified,Ntrl1,Ntrl1Use,Ntrl1Aware,Ntrl1Open,Ntrl2,Ntrl2Use,Ntrl2Aware,Ntrl2Open,WC1,WC1Use,WC1Aware,WC1Open,WC2,WC2Use,WC2Aware,WC2Open,Ntrl3,Ntrl3Use,Ntrl3Aware,Ntrl3Open,Ntrl4,Ntrl4Use,Ntrl4Aware,Ntrl4Open,FD1,FD1Use,FD1Aware,FD1Open,FD2,FD2Use,FD2Aware,FD2Open,Gender,Age,Class,PSF1r,PSF2r,PSF3,PSF4r,PSF5r,PSF6,Belonging1,Belonging2,Belonging3,GPA,USldr,Income
15,1,1,2,nothing,1,2,3,that we are smart students,1,1,3,that it is too expensive,1,1,1,that it is good at shmoozing,,,,,,,,,,,,,,,,,2,21,4,2,2,6,7,2,6,6,2,2,,,
14,,,,,,,,,,,,,,,,,1,1,2,diverse,1,3,3,we're smart,1,3,2,reasonable,1,3,2,reasonable,2,17,1,6,3,7,5,1,7,5,6,4,,10,6
13,1,2,2,lots of opportunities,1,3.5,4,we are very elite,1,3,1.5,lots of $$$ people go here,1,2,1,people want to support us,,,,,,,,,,,,,,,,,2,18,1,4,3,6,2,1,7,7,6,5,,6,
12,1,3,1,very diveres and large,1,4,3,full of impressive academics,1,3,2,expensive school but provides financial aid,1,3,2,alumni and parents care about nu fostering community,,,,,,,,,,,,,,,,,2,21,4,4,5,2,6,6,5,7,5,4,3.6,8,3
11,,,,,,,,,,,,,,,,,1,3,2,the northwestern environment has plenty of opportunities and options for students,1,4,3,it is an institution where students can get a high quality education,1,3,3,it provides for most students so they are able to still get a top notch education,1,3,2,plenty of aid is provided to students that need it,2,21,4,2,3,4,5,4,5,6,4,5,3.2,7,4
10,1,1,2,it offers a wide range of educational opportunities,1,2,3,we're a really good school,1,3,2,students here are very wealthy,1,1,1,where does the money go,,,,,,,,,,,,,,,,,2,20,3,5,3,5,6,3,4,5,7,7,3.2,7.5,5
9,,,,,,,,,,,,,,,,,1,4,3,there are many opportunities for diversity in education,1,4,3,it makes academics good,1,4,3,it allows for all social classes to attend,1,4,3,it diversifies,1,18,1,1,4,3,2,1,5,5,2,1,,8.5,5
8,1,3,2,its very diverse,1,3,2,it adds to the wonderful culture,1,2,2,it wants to include as many people as possible,1,3,2,it wants to help families,,,,,,,,,,,,,,,,,2,18,1,7,3,5,3,2,4,7,4,3,,6.5,
7,,,,,,,,,,,,,,,,,1,1,2,there is a lot of variety,1,3,3,nu seems like a good school,1,2,2,nu is trying to be open to every student with merit,1,2,2,they try to help out students in financial matters,2,21,4,2,1,5,3,2,5,4,5,5,3.37,9,5
6,1,3,1,intense,1,3,2,distinguished,1,1,3,overpriced,1,1,1,nothing,,,,,,,,,,,,,,,,,2,20,4,4,3,2,2,2,5,5,7,5,3.3,9.5,6
5,,,,,,,,,,,,,,,,,1,4,3,"opportunity, flexibility, breadth",1,4,2,"preparation for post-graduation, huge return on investment in NU education",1,4,3,willing to provide means for students of all/varied backgrounds to attend,1,3,1,works around need for loans,2,20,2,2,4,1,6,6,2,7,2,1,3.45,8.5,3
4,1,4,2,a lot of variety in classes and majors,1,3,1,very known to the point of popularity,1,3,1,very easy manage paying for college,1,3,2,tells a lot about the heart of this college,,,,,,,,,,,,,,,,,1,17,6,4,4,5,5,5,5,5,5,5,,2.5,1
3,1,2,1,seems like there would be a wide array of chooses in regards to what classes you can take,1,3,2,northwestern seems to take pride in its intelligent students,1,3,2,northwestern is a little on the expensive side,1,3,1,both students and alumni really care about this school,,,,,,,,,,,,,,,,,1,23,6,7,7,1,4,6,1,4,4,4,,3.5,2
2,,,,,,,,,,,,,,,,,1,2,2,universal,1,3,3,challenging,1,4,2,acommodating,1,3,2,helpful ,2,19,2,3,3,5,6,4,6,7,1,5,3.2,8,
1,,,,,,,,,,,,,,,,,1,2,2,very broad and all encompassing,1,2,3,"competitive, pedigreed",1,3,2,"diversity, aware of the price of education",1,3,2,same as above,1,21,4,2,3,6,2,4,6,6,3,1,3,10.5,9
