"id.deidentified","Age","Gender","Race","Multi.racial","Class","income","ladder","Item1I","Use1I","Aware1I","Item2I","Use2I","Aware2I","Item3I","Use3I","Aware3I","Item4I","Use4I","Aware4I","OrderI_1_Group","OrderI_1_Rank","OrderI_2_Group","OrderI_2_Rank","OrderI_3_Group","OrderI_3_Rank","OrderI_4_Group","OrderI_4_Rank","Item1C","Use1C","Aware1C","Item2C","Use2C","Aware2C","Item3C","Use3C","Aware3C","Item4C","Use4C","Aware4C","OrderC_1_Group","OrderC_1_Rank","OrderC_2_Group","OrderC_2_Rank","OrderC_3_Group","OrderC_3_Rank","OrderC_4_Group","OrderC_4_Rank","iat","cgpa"
71,18,2,"7","",1,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,3,1,3,3,1,2,2,1,1,0,1,3,1,2,1,0.776835075,"3.675"
72,20,1,"7","",2,8,9,1,1,2,1,3,3,1,2,2,1,1,2,2,1,0,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.487142719,"3.5"
73,19,2,"3","",1,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,4,3,1,4,3,1,4,1,0,1,1,1,3,1,2,1,0.68016699,"2.8"
74,19,2,"2","",2,2,6,1,3,2,1,3,3,1,4,3,1,3,3,3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.464027506,"3.4"
75,19,2,"7","",1,7,8,1,3,2,1,3,3,1,4,2,1,4,2,3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663941297,"3.2-3.3"
76,19,2,"2","",2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,3,2,1,1,2,1,3,1,0,1,1,1,3,1,2,1,0.548715731,"3.4"
77,19,2,"7","",1,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,3,3,1,4,2,1,3,1,1,1,0,1,2,1,3,1,0.708678946,"3.69"
78,20,2,"7","",2,8,8,1,4,1,1,3,2,1,4,2,1,3,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489526191,"3.56"
79,20,2,"7","",2,9,10,1,2,1,1,4,3,1,3,2,1,2,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027131627,"3.2"
80,18,2,"5","",1,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,2,2,1,2,2,1,2,1,0,1,2,1,1,1,3,1,0.476986168,"3.65"
81,20,1,"7","",2,6,8,1,2,2,1,3,2,1,2,1,1,2,1,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520007677,"3.3"
82,20,2,"2","",3,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,3,2,1,1,1,1,2,1,1,1,0,1,3,1,2,1,0.561780055,"3.245"
89,19,2,"7","",1,3,10,1,3,2,1,3,3,1,2,3,1,2,3,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.188"
93,21,1,"2","",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.362200255,NA
98,19,1,"7","",1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,4,3,1,3,3,1,2,2,1,1,0,1,2,1,3,1,0.607702273,"2.9"
101,20,2,"7","",2,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,4,3,1,2,2,1,1,1,1,1,0,1,2,1,3,1,0.496734442,"2.9"
104,19,1,"7","",1,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,3,1,1,2,1,1,1,1,1,0,1,3,1,2,1,0.151270809,"3.49"
115,19,2,"4","",1,4,5,1,3,3,1,3,3,1,4,2,1,3,2,3,1,2,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21576532,"3"
122,18,2,"2","",1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,3,2,1,3,1,1,1,1,1,1,0,1,2,1,3,1,0.749901957,"2.8"
127,18,1,"2","",1,5,7,1,3,3,1,3,3,1,3,3,1,3,3,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5"
130,19,1,"7","",1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36918219,NA
138,18,1,"2","",1,4,10,1,3,3,1,3,3,1,3,3,1,3,3,3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30479021,"3.1"
142,19,2,"2","",1,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,2,3,1,1,3,1,1,3,1,1,0,1,3,1,2,1,0.479063295,"3.4"
143,20,1,"2","",3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072001034,NA
144,18,2,"8","black&white",1,2,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,1,3,3,1,2,2,1,2,1,1,1,0,1,2,1,3,1,0.496688217,"3.358"
146,19,2,"7","",1,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,4,3,1,3,3,1,4,2,1,1,0,1,2,1,3,1,0.585538074,"3.625"
149,18,1,"7","",1,4,8.5,1,2,2,1,3,3,1,3,3,1,3,2,3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.717061841,"3.54"
150,18,1,"4","",1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,4,3,1,3,2,1,4,2,1,1,0,1,2,1,3,1,0.108893018,"3.46"
157,22,1,"7","",4,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,3,3,1,4,2,1,3,3,1,1,0,1,3,1,2,1,1.06076634,"3.2"
161,18,1,"2","",1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,3,1,2,2,1,2,1,1,1,0,1,2,1,3,1,0.310148584,"4"
163,19,2,"7","",1,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,4,3,1,3,3,1,2,2,1,1,0,1,3,1,2,1,0.826034508,"3.3"
165,19,2,"7","",1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,3,3,1,2,3,1,1,1,0,1,1,1,2,1,3,1,0.576223823,"3.7"
169,19,1,"7","",1,5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774331397,NA
170,22,1,"7","",4,9,10,1,1,2,1,4,3,1,3,2,1,2,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.838310088,"3.024"
171,19,2,"2","",1,8,8,1,2,2,1,4,3,1,3,2,1,3,2,3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.730851613,"3.85"
172,19,1,"7","",1,7,9,1,3,2,1,4,3,1,4,2,1,4,2,1,1,0,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400186565,"3.67"
177,18,2,"4","",1,9,9,1,2,1,1,3,3,1,2,2,1,3,2,3,1,0,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68994266,"2.9"
190,19,2,"7","",1,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,1,3,3,1,3,3,1,1,0,1,3,1,2,1,0.392931759,"3.8"
